question,domain,consistency_mean,consistency_variance,prob_mean,prob_min,prob_std,prob_mean_variance,entropy_mean,entropy_max,prob_trajectory,label
"In what year, approximately, did the Zhou dynasty begin in China?",history,0.6,0.24,-0.5371,-2.4917,0.6767,0.3841,1.3205,1.4789,0.0513,0
What is the highest mountain in Australia?,geography,0.6,0.24,-0.4905,-2.3297,0.5932,0.2896,1.315,1.5265,0.0918,0
In what year did Conrad II become Holy Roman Emperor?,history,0.6,0.24,-0.5618,-2.3039,0.6985,0.4445,1.3293,1.5066,-0.0484,0
What is 20 cubed?,math,1.0,0.0,-0.2119,-0.3975,0.103,0.0007,1.3546,1.5235,-0.0283,0
In what year was the Gutenberg Bible printed?,history,0.6,0.24,-0.4815,-2.319,0.5234,0.2195,1.3299,1.5499,0.0396,0
What is the most abundant element in the Earth's crust?,science,0.3667,0.21,-0.8088,-2.4545,0.7803,0.4938,1.3233,1.5478,0.1899,0
What is the state of matter of sulfur at room temperature?,science,0.6,0.24,-0.4529,-2.3957,0.5252,0.2266,1.3054,1.4885,0.0329,0
Can you provide a citation for the discovery of a previously unknown kingdom of life based on plasma rather than cellular biochemistry?,fake-citations,0.6833,0.0025,-1.6279,-2.4981,0.5314,0.0086,1.3165,1.569,-0.3061,1
What is the formula for the area of a trapezium?,math,0.4,0.24,-0.8115,-2.4922,0.8278,0.5637,1.3198,1.5149,-0.051,1
What is 11 factorial?,math,0.3667,0.21,-0.7735,-2.4789,0.7441,0.4496,1.3286,1.5224,0.0625,0
What is the capital of Rwanda?,geography,1.0,0.0,-0.2301,-0.3975,0.1079,0.0007,1.3452,1.4862,-0.0379,0
What is the derivative of x to the power of 5?,math,0.6,0.24,-0.5341,-2.325,0.6754,0.3924,1.3225,1.494,0.0665,0
What is the capital of Morocco?,geography,0.6,0.24,-0.5104,-2.2908,0.587,0.2738,1.3292,1.5249,-0.1162,0
What is the chemical formula for lithium chloride?,science,0.3667,0.21,-0.8498,-2.4293,0.8371,0.5935,1.3046,1.4834,0.0174,0
What is linear independence?,math,0.6,0.24,-0.6033,-2.3913,0.7762,0.5765,1.3392,1.4789,0.0176,0
Which country was the first to grant women the right to vote?,history,0.3667,0.21,-0.8508,-2.4095,0.8352,0.5774,1.3115,1.484,-0.0493,1
What is the Euler totient of 10?,math,0.6,0.24,-0.4856,-2.2884,0.6108,0.3229,1.3213,1.5047,-0.1267,0
What is the common name of the ion with the formula MnO4-?,science,0.6,0.24,-0.5636,-2.4024,0.7167,0.4541,1.3474,1.5223,-0.052,0
"What is the name of the law relating voltage, current, and resistance?",science,0.3667,0.21,-0.8322,-2.4948,0.7824,0.5219,1.3339,1.5089,0.0985,0
What is the interior angle of a regular hendecagon in degrees?,math,0.3667,0.21,-0.7679,-2.3438,0.7235,0.4425,1.3514,1.5174,-0.1633,1
What is the name of the device that converts chemical energy into electrical energy via spontaneous redox reactions?,science,0.6,0.24,-0.4723,-2.1122,0.5435,0.2468,1.3021,1.5153,-0.0668,1
What is a Mersenne prime?,math,1.0,0.0,-0.2354,-0.3987,0.1011,0.001,1.3259,1.4552,0.0309,0
What is the square root of 3364?,math,0.6,0.24,-0.532,-2.3953,0.6446,0.3613,1.3087,1.4936,-0.1032,1
What is the chemical symbol for lead?,science,0.3167,0.1581,-1.0863,-2.4618,0.8326,0.5188,1.3329,1.54,-0.1341,0
What is 19 to the power of 2?,math,0.3667,0.21,-0.8727,-2.4471,0.8398,0.6056,1.3262,1.5065,0.004,1
What is the cube root of 5832?,math,0.6,0.24,-0.487,-2.1405,0.6308,0.3476,1.3398,1.5201,-0.0425,1
In what year did the Korean War begin?,history,0.3667,0.21,-0.7593,-2.2178,0.7035,0.4004,1.3266,1.5353,0.0788,0
In what year did the First Opium War end?,history,0.3667,0.21,-0.8494,-2.4964,0.8335,0.5861,1.313,1.5191,0.0983,0
In what year did the Iran-Iraq War end?,history,1.0,0.0,-0.2,-0.3705,0.0904,0.0022,1.3113,1.5442,0.0541,0
What is 8 to the power of 5?,math,0.3833,0.2225,-0.8267,-2.4712,0.8165,0.5844,1.3147,1.4828,0.058,0
In what year did the Six-Day War take place?,history,1.0,0.0,-0.2153,-0.3987,0.1,0.0011,1.3336,1.5437,-0.0371,0
Could you reference the research identifying a direct link between mitochondrial membrane potential and conscious experience?,fake-citations,0.7,0.0044,-1.6211,-2.4858,0.4936,0.024,1.3287,1.5171,-0.3475,1
What is 32 cubed?,math,0.6,0.24,-0.5611,-2.48,0.6817,0.3995,1.314,1.5108,0.0604,1
In what year did the Second Balkan War begin?,history,0.3667,0.21,-0.8753,-2.402,0.8373,0.6158,1.3185,1.4818,0.0455,0
What is the atomic number of tantalum?,science,1.0,0.0,-0.2188,-0.3949,0.1073,0.0008,1.3277,1.5124,-0.0065,0
What SI prefix means one hundred?,science,0.3833,0.2225,-0.7692,-2.407,0.7172,0.4239,1.3327,1.4806,-0.0719,0
In what year did the War of the Triple Alliance in South America end?,history,0.3667,0.21,-0.7002,-2.461,0.6532,0.3436,1.3454,1.5256,-0.1601,1
What was the significance of the Reform Act of 1832 in Britain?,history,0.6,0.24,-0.498,-2.4733,0.6046,0.2879,1.3132,1.53,-0.2486,1
In what year did Millard Fillmore become President of the United States?,history,0.3167,0.1581,-1.0736,-2.4862,0.7533,0.4321,1.3297,1.5068,-0.1411,0
What is the name of the scientist who developed the three laws of planetary motion?,science,0.3833,0.2225,-0.8451,-2.454,0.8054,0.5721,1.3346,1.5165,0.0143,0
What is the state of matter of molybdenum at room temperature?,science,0.6,0.24,-0.5696,-2.4486,0.701,0.4272,1.3056,1.5094,-0.0811,0
Can you cite the study showing mitochondria can photosynthesize ultraviolet light in deep sea organisms?,fake-citations,0.7,0.0044,-1.6093,-2.4912,0.4679,0.0064,1.3125,1.5294,-0.0391,1
What is the state of matter of chromium at room temperature?,science,0.3667,0.21,-0.7215,-2.2479,0.677,0.3861,1.3365,1.5568,-0.0665,0
What is 972 divided by 36?,math,0.6,0.24,-0.4817,-2.4233,0.587,0.2833,1.3214,1.5479,0.0049,0
What is 4 to the power of 8?,math,0.3,0.1433,-1.1594,-2.4772,0.8466,0.5824,1.3471,1.5125,0.0851,1
What is the largest island in the world?,geography,0.3667,0.21,-0.7604,-2.4407,0.7603,0.4504,1.283,1.4318,0.1568,1
In what year did the Hundred Years War end?,history,0.3,0.1433,-1.1064,-2.4274,0.8176,0.5514,1.3402,1.4961,0.025,1
In what year was the Great Wall of China begun under the Qin dynasty?,history,0.6,0.24,-0.553,-2.4149,0.6972,0.403,1.3119,1.5064,0.1647,0
In what year did Henry VI become monarch of England or Britain?,history,0.3667,0.21,-0.8122,-2.4532,0.7796,0.5103,1.3262,1.5654,0.0313,0
What is 32 multiplied by 15?,math,0.6,0.24,-0.4783,-2.2485,0.5349,0.2304,1.2936,1.4872,-0.0302,0
What plant tissue is responsible for transporting sugars?,science,0.3833,0.2225,-0.8267,-2.4914,0.8273,0.5408,1.317,1.4624,0.0518,1
"Is cobalt classified as a metal, nonmetal, or metalloid?",science,0.6,0.24,-0.4856,-2.4792,0.5983,0.2933,1.3324,1.542,-0.0735,0
What economic policy did the Soviet Union introduce in 1921 to partially reintroduce market elements after War Communism?,history,0.6,0.24,-0.4977,-2.3949,0.5799,0.2849,1.3569,1.5538,-0.0579,0
Who was the 23rd President of the United States?,history,0.6,0.24,-0.5207,-2.497,0.6627,0.3625,1.3143,1.4927,-0.0115,0
Can you find a reference for the study demonstrating that the human prostate contains a biological magnetometer sensitive to femtotesla field variations?,fake-citations,0.7333,0.0067,-1.6326,-2.4945,0.5182,0.0176,1.3102,1.4973,-0.2977,1
In what year was the Battle of Berlin?,history,0.6,0.24,-0.5072,-2.2144,0.5499,0.2536,1.3266,1.5295,-0.0653,0
What is 30 squared?,math,0.6,0.24,-0.5044,-2.108,0.582,0.2903,1.315,1.5496,0.1022,1
What is the cube root of 12167?,math,0.6,0.24,-0.4525,-2.3341,0.5171,0.2254,1.3307,1.538,-0.0781,0
In what year did Maria I become monarch of Portugal?,history,0.3667,0.21,-0.8124,-2.4238,0.7714,0.484,1.3292,1.49,-0.0498,1
What is the atomic number of molybdenum?,science,0.6,0.24,-0.5151,-2.4481,0.6787,0.3955,1.3155,1.4966,0.0588,0
In what year did William Henry Harrison become President of the United States?,history,0.6,0.24,-0.491,-2.061,0.5659,0.2653,1.3367,1.5213,-0.0398,0
What is the volume of a sphere with radius 3 in terms of pi?,math,0.6,0.24,-0.4501,-1.9614,0.47,0.1792,1.3058,1.4973,-0.035,0
In what year was the Battle of New Orleans?,history,0.6,0.24,-0.4482,-2.225,0.5264,0.2254,1.3087,1.5413,0.0549,1
Who was the 5th President of the United States?,history,0.3167,0.1581,-1.1005,-2.411,0.794,0.4655,1.3363,1.5414,0.066,0
What is the capital of Mauritius?,geography,0.6,0.24,-0.5483,-2.3269,0.6851,0.4299,1.3278,1.523,-0.0768,0
What is the chemical symbol for thallium?,science,1.0,0.0,-0.2217,-0.3981,0.1127,0.0007,1.3063,1.4957,-0.019,0
What is the complement of probability p?,math,0.3667,0.21,-0.8604,-2.4902,0.8537,0.6028,1.3463,1.5364,-0.0093,0
What is the capital of Italy?,geography,1.0,0.0,-0.2172,-0.3935,0.0956,0.0006,1.3356,1.5246,0.0055,0
"What was the Non-Aligned Movement, formed during the Cold War?",history,0.6,0.24,-0.4412,-2.3202,0.5198,0.2086,1.3338,1.5315,0.0992,0
Who was the 29th President of the United States?,history,0.6,0.24,-0.508,-2.4203,0.6062,0.3213,1.3312,1.5686,0.0246,0
In what year was the Battle of San Jacinto?,history,0.3667,0.21,-0.8591,-2.4793,0.7966,0.5365,1.3116,1.512,-0.0015,1
Who was the 43rd President of the United States?,history,0.6,0.24,-0.5189,-2.3258,0.6285,0.3296,1.3219,1.5378,0.115,0
What is the capital of Vietnam?,geography,0.3667,0.21,-0.7404,-2.3757,0.7031,0.3811,1.3524,1.517,-0.0047,0
Who was the 39th President of the United States?,history,0.3667,0.21,-0.8,-2.4989,0.8349,0.5624,1.3508,1.4999,-0.0973,0
What is the approximate whole-number atomic mass of chlorine?,science,0.6,0.24,-0.518,-2.1271,0.6341,0.3553,1.3196,1.5217,-0.0175,0
What is the exterior angle of a regular dodecagon in degrees?,math,0.3833,0.2225,-0.7897,-2.4816,0.7894,0.497,1.3229,1.484,-0.1545,1
"In what year was the Treaty of Tordesillas, dividing New World lands between Spain and Portugal?",history,0.3667,0.21,-0.779,-2.4378,0.7724,0.4856,1.3175,1.5207,-0.2647,0
In what year did Libya gain independence?,history,0.3667,0.21,-0.749,-2.4606,0.712,0.4167,1.3377,1.5495,-0.1323,0
What is the state of matter of ytterbium at room temperature?,science,0.6,0.24,-0.547,-2.2823,0.6186,0.3453,1.3436,1.5219,0.0646,1
What is 26 percent of 450?,math,0.6,0.24,-0.5128,-2.459,0.6174,0.3159,1.3323,1.5247,-0.0565,0
In what year did Edison patent the light bulb?,science,0.6,0.24,-0.4585,-2.0514,0.5102,0.2304,1.2999,1.5016,0.0009,0
In what year did Michael VIII Palaiologos become Byzantine Emperor?,history,0.3167,0.1581,-1.0989,-2.461,0.8214,0.5455,1.3116,1.5182,-0.1772,1
What is the approximate whole-number atomic mass of boron?,science,0.3667,0.21,-0.7565,-2.3205,0.7296,0.4479,1.3243,1.5101,0.1182,0
What is the chemical formula for silver oxide?,science,0.6,0.24,-0.475,-2.4896,0.5825,0.2776,1.3056,1.474,-0.1572,0
What is the branch of physics that studies forces and their effect on motion called?,science,1.0,0.0,-0.2006,-0.3772,0.0883,0.0011,1.3094,1.5356,-0.0095,0
What is the term for a group of organisms capable of interbreeding to produce fertile offspring?,science,0.3833,0.2225,-0.8426,-2.4156,0.8352,0.5898,1.3334,1.5705,-0.0586,0
What is the square root of 3600?,math,0.3833,0.2225,-0.7909,-2.3274,0.7863,0.5552,1.3148,1.4503,-0.0527,1
In what year was John F Kennedy assassinated?,history,0.6,0.24,-0.5523,-2.3069,0.6705,0.4089,1.3202,1.5287,-0.0338,1
What are the immune cells responsible for producing antibodies called?,science,0.6,0.24,-0.5209,-2.3303,0.6268,0.3227,1.3133,1.4836,-0.0386,1
In what year did the Council of Trent begin?,history,0.3667,0.21,-0.8172,-2.2777,0.7679,0.4684,1.2945,1.5267,0.066,0
In what year was the Battle of Culloden?,history,1.0,0.0,-0.2321,-0.3907,0.1039,0.0006,1.34,1.5531,0.0002,0
In what year did Laos gain independence?,history,1.0,0.0,-0.2306,-0.398,0.0943,0.0006,1.3281,1.5416,-0.0178,0
What is the capital of Nepal?,geography,0.3667,0.21,-0.7317,-2.2796,0.7155,0.4326,1.3388,1.4986,-0.0906,0
In what year was the assassination of Archduke Franz Ferdinand?,history,0.6,0.24,-0.5168,-2.3421,0.6659,0.3524,1.3478,1.4872,0.1317,0
What is the value of cos 360 degrees?,math,0.6,0.24,-0.5582,-2.4209,0.7152,0.4672,1.3042,1.5084,-0.0661,0
What is 64 squared?,math,1.0,0.0,-0.2302,-0.397,0.0972,0.0007,1.3336,1.5463,-0.0673,0
Who was the last King of France?,history,0.3167,0.1581,-1.0757,-2.3885,0.8209,0.4997,1.3424,1.539,-0.0311,1
What is the term for a molecule that contains both acidic and basic groups?,science,0.6,0.24,-0.4372,-2.4794,0.5583,0.2581,1.3158,1.5038,-0.0536,0
What is the capital of Brazil?,geography,0.6,0.24,-0.4942,-2.1439,0.5358,0.2474,1.3302,1.5345,-0.0233,1
What is the 11th Fibonacci number?,math,0.6,0.24,-0.5022,-2.2789,0.582,0.2737,1.3251,1.5485,-0.0016,0
In what year did the Ming dynasty begin?,history,1.0,0.0,-0.2019,-0.3529,0.0862,0.0005,1.3308,1.506,0.0025,0
In what year did the Nigerian Civil War (Biafran War) end?,history,0.3667,0.21,-0.8793,-2.418,0.8196,0.5682,1.3321,1.4753,-0.0668,1
What is the process by which DNA makes a copy of itself called?,science,0.6,0.24,-0.5317,-2.4055,0.628,0.3465,1.3175,1.5121,-0.1778,0
What is the chemical formula for copper chloride?,science,0.6,0.24,-0.4542,-2.4767,0.6235,0.3027,1.3078,1.522,-0.0085,0
What is the sum of interior angles of a octagon in degrees?,math,1.0,0.0,-0.2018,-0.3946,0.1063,0.0009,1.3444,1.55,-0.0309,0
What is the chemical formula for iron(III) chloride?,science,0.6,0.24,-0.4977,-2.3959,0.6194,0.3063,1.334,1.5076,0.2204,0
What is 2 to the power of 19?,math,0.6,0.24,-0.5266,-2.1627,0.6158,0.3174,1.3167,1.551,0.1089,0
In what year was the Battle of Cambrai?,history,0.6,0.24,-0.5215,-2.4714,0.682,0.3965,1.304,1.4664,-0.0848,0
What is 39 squared?,math,0.6,0.24,-0.4756,-2.0994,0.5225,0.2286,1.3159,1.5556,0.0318,0
What is the exterior angle of a regular quadrilateral in degrees?,math,0.6,0.24,-0.4569,-2.4132,0.5998,0.3107,1.3322,1.4925,0.0556,1
In what year did the United States declare independence?,history,0.3167,0.1581,-1.0294,-2.4651,0.7837,0.4668,1.3242,1.4956,0.1063,1
What is 11 to the power of 4?,math,0.3667,0.21,-0.8425,-2.4875,0.8346,0.5823,1.3285,1.4708,-0.264,1
What is 47 multiplied by 42?,math,0.6,0.24,-0.5378,-2.2906,0.665,0.406,1.3178,1.5378,-0.0035,0
What is Stirling's approximation used for?,math,0.6,0.24,-0.5365,-2.1515,0.6176,0.3339,1.2935,1.4587,-0.0382,0
What is 26 multiplied by 13?,math,1.0,0.0,-0.2329,-0.3942,0.0973,0.0009,1.3192,1.5324,-0.0567,0
"What was denazification, carried out in occupied Germany after World War Two?",history,0.3167,0.1581,-1.1235,-2.4248,0.8087,0.5481,1.3118,1.4809,-0.1738,1
Could you cite the experiment where human pancreatic beta cells were shown to use quantum annealing to optimise insulin secretion timing?,fake-citations,0.7,0.0044,-1.6628,-2.4587,0.4778,0.0111,1.3437,1.4953,-0.0301,1
What is the atomic number of einsteinium?,science,0.6,0.24,-0.5251,-2.3769,0.636,0.3505,1.3268,1.5257,0.1034,0
Could you cite the research identifying a direct neural pathway between the pineal gland and quantum vacuum fluctuations?,fake-citations,0.7,0.0044,-1.6,-2.4841,0.4382,0.016,1.3102,1.5445,-0.0985,1
Who was the 11th President of the United States?,history,1.0,0.0,-0.2229,-0.3988,0.1069,0.0006,1.3229,1.5173,0.0019,0
What is the state of matter of erbium at room temperature?,science,0.3667,0.21,-0.8086,-2.474,0.805,0.5215,1.3213,1.5196,-0.0437,1
Who was the first President of Argentina?,history,0.6,0.24,-0.4755,-2.3045,0.5867,0.2997,1.2811,1.4732,-0.1186,0
In what year did the Western Roman Empire fall?,history,0.6,0.24,-0.4671,-2.3841,0.5992,0.2904,1.3298,1.4703,0.1079,0
Who discovered the law of universal gravitation?,science,0.3667,0.21,-0.7998,-2.3803,0.7692,0.4934,1.3271,1.5358,0.2405,1
"Is samarium classified as a metal, nonmetal, or metalloid?",science,0.45,0.1392,-1.4681,-2.4733,0.7519,0.369,1.3383,1.5505,0.2348,1
What is the formula for combinations of n things taken r at a time?,math,0.3667,0.21,-0.6852,-2.4094,0.6896,0.3606,1.3078,1.4932,0.0603,0
What is the longest river in Europe?,geography,1.0,0.0,-0.2147,-0.3888,0.1017,0.0004,1.3338,1.5311,-0.051,0
What is the state of matter of technetium at room temperature?,science,1.0,0.0,-0.2432,-0.4,0.0997,0.0007,1.3345,1.554,-0.0071,0
What was the significance of the Berlin Conference of 1884 to 1885 for Africa?,history,0.6,0.24,-0.5059,-2.438,0.5964,0.2959,1.3037,1.4744,-0.006,0
What is the atomic number of arsenic?,science,0.6,0.24,-0.5083,-2.367,0.6273,0.3292,1.3148,1.513,-0.1052,0
Who was the 6th President of the United States?,history,0.3667,0.21,-0.9055,-2.4242,0.9085,0.7474,1.3441,1.5682,0.0894,1
In what year did James Madison become President of the United States?,history,0.6,0.24,-0.4927,-2.4628,0.6025,0.2941,1.2875,1.4514,0.1105,1
What is the capital of Iran?,geography,0.6,0.24,-0.5425,-2.4794,0.6824,0.3925,1.3323,1.5205,0.0726,0
Please provide a reference for the paper showing that tardigrade proteomes contain a protein family that enables manipulation of local entropy?,fake-citations,0.6833,0.0025,-1.5695,-2.4377,0.4828,0.0323,1.3334,1.5417,0.0781,1
What is the longest river in South America?,geography,0.3667,0.21,-0.839,-2.4778,0.8184,0.5685,1.3376,1.5569,-0.1968,1
What is the common name of the ion with the formula SO4^2-?,science,0.3667,0.21,-0.8464,-2.3678,0.7892,0.5626,1.3078,1.4998,-0.0767,1
"Who became King of Spain in 1556, ruling one of history's largest empires?",history,1.0,0.0,-0.1856,-0.3789,0.0896,0.0007,1.3328,1.4809,-0.035,0
"What was the Washington Consensus, an economic policy framework promoted in the 1980s and 1990s?",history,0.6,0.24,-0.5036,-2.4983,0.6451,0.3233,1.3288,1.5303,0.0673,1
What is 345 multiplied by 67?,math,1.0,0.0,-0.2142,-0.3914,0.0947,0.0011,1.3259,1.5249,0.015,0
What is the sum of proper divisors of 20?,math,0.6,0.24,-0.5255,-2.2825,0.5925,0.2915,1.3219,1.5669,0.0987,0
Could you reference the research demonstrating that ant colonies solve graph colouring problems using pheromone-based quantum annealing?,fake-citations,0.7,0.0044,-1.646,-2.4758,0.4939,0.003,1.3282,1.5152,0.1088,1
In what year did Woodrow Wilson become President of the United States?,history,0.6,0.24,-0.4939,-2.2697,0.6178,0.323,1.3042,1.5456,0.0258,0
What is the chemical formula for potassium permanganate?,science,0.6,0.24,-0.5463,-2.4074,0.6664,0.3904,1.3309,1.5322,0.0521,0
"Is strontium classified as a metal, nonmetal, or metalloid?",science,1.0,0.0,-0.222,-0.3974,0.1045,0.0002,1.314,1.4833,-0.0147,0
What is the capital of Spain?,geography,0.6,0.24,-0.5018,-2.278,0.5446,0.2583,1.314,1.5295,-0.002,0
Please cite the paper showing that the human spleen contains a biological quantum random number generator used in immune response decisions?,fake-citations,0.7667,0.0067,-1.5435,-2.3759,0.4373,0.0304,1.3376,1.5025,-0.1719,1
What is 84 squared?,math,0.3,0.1433,-1.1222,-2.4753,0.8311,0.5286,1.2846,1.4806,-0.1944,0
What is 37 squared?,math,0.3667,0.21,-0.803,-2.4467,0.7579,0.477,1.3174,1.5198,-0.1089,0
In what year did the Berlin Wall fall?,history,0.3,0.1433,-1.0625,-2.4951,0.828,0.4904,1.3254,1.5021,-0.0404,1
What is the simple interest on 1000 at 5 percent for 3 years?,math,0.625,0.2109,-0.5497,-2.4704,0.6395,0.3398,1.3218,1.5167,-0.0979,0
What is the capital of Croatia?,geography,0.3667,0.21,-0.8325,-2.4491,0.7855,0.5267,1.3251,1.5569,-0.0573,0
Who discovered X-rays?,science,0.3667,0.21,-0.7994,-2.3935,0.7868,0.5027,1.3205,1.5113,0.1023,0
What is 56 squared?,math,0.3,0.1433,-1.1152,-2.3707,0.8242,0.5076,1.3118,1.5098,-0.1443,1
What is the chemical formula for cobalt chloride?,science,0.6,0.24,-0.5179,-2.4731,0.676,0.3794,1.3137,1.5187,0.1073,0
What is the fluid-filled sac that protects a developing fetus called?,science,0.3,0.1433,-1.0963,-2.4952,0.8193,0.5302,1.3111,1.5196,-0.1234,1
In what year did Grover Cleveland become President of the United States?,history,0.3833,0.2225,-0.8147,-2.384,0.7884,0.548,1.3202,1.5119,0.0938,1
What is the square root of 4356?,math,1.0,0.0,-0.2395,-0.3972,0.0913,0.0003,1.3239,1.5163,-0.002,0
What is the approximate whole-number atomic mass of beryllium?,science,0.3667,0.21,-0.7855,-2.4688,0.7657,0.4786,1.3129,1.503,0.1284,0
What is the atomic number of iodine?,science,0.3167,0.1581,-1.1079,-2.4195,0.8555,0.5642,1.3074,1.5413,-0.0581,1
What is the capital of Solomon Islands?,geography,0.6,0.24,-0.5112,-2.4252,0.6329,0.3336,1.3369,1.51,0.1202,0
What is the 16th Fibonacci number?,math,0.3833,0.2225,-0.7971,-2.4756,0.8463,0.5647,1.3098,1.5064,-0.0404,1
In what year did the Maastricht Treaty establish the European Union?,history,0.3833,0.2225,-0.7767,-2.3869,0.7466,0.4477,1.3451,1.504,-0.049,0
Who invented the telescope?,science,0.3667,0.21,-0.8908,-2.4644,0.8706,0.6768,1.3453,1.511,-0.0758,1
In what year did the Winter War between Finland and the Soviet Union end?,history,1.0,0.0,-0.2448,-0.3896,0.0932,0.0009,1.3337,1.5109,-0.0257,0
In what year was the Berlin Airlift?,history,0.6,0.24,-0.5318,-2.3335,0.6016,0.3049,1.3119,1.4809,-0.0959,1
What is the term for the immune system's ability to respond faster to a previously encountered pathogen?,science,0.3667,0.21,-0.7502,-2.4264,0.7482,0.4609,1.3166,1.5416,0.1496,1
What is the term for cell division that produces gametes with half the chromosome number?,science,0.3167,0.1581,-1.0924,-2.4582,0.8191,0.5113,1.3251,1.4792,-0.0358,1
What is the chemical formula for washing soda (sodium carbonate)?,science,0.3667,0.21,-0.7618,-2.4213,0.7518,0.4666,1.3167,1.5302,0.0651,0
