question,answer
What is the capital of Cambodia?,Phnom Penh
What is the capital of Laos?,Vientiane
What is the capital of Nepal?,Kathmandu
What is the capital of Sri Lanka?,Sri Jayawardenepura Kotte
What is the capital of Afghanistan?,Kabul
What is the capital of Uzbekistan?,Tashkent
What is the capital of Turkmenistan?,Ashgabat
What is the capital of Tajikistan?,Dushanbe
What is the capital of Kyrgyzstan?,Bishkek
What is the capital of Azerbaijan?,Baku
What is the capital of Armenia?,Yerevan
What is the capital of Georgia?,Tbilisi
What is the capital of Mongolia?,Ulaanbaatar
What is the capital of North Korea?,Pyongyang
What is the capital of South Korea?,Seoul
What is the capital of Iraq?,Baghdad
What is the capital of Syria?,Damascus
What is the capital of Jordan?,Amman
What is the capital of Lebanon?,Beirut
What is the capital of Israel?,Jerusalem
What is the capital of Kuwait?,Kuwait City
What is the capital of Qatar?,Doha
What is the capital of Bahrain?,Manama
What is the capital of United Arab Emirates?,Abu Dhabi
What is the capital of Oman?,Muscat
What is the capital of Yemen?,Sanaa
What is the capital of Cyprus?,Nicosia
What is the capital of Greece?,Athens
What is the capital of Bulgaria?,Sofia
What is the capital of Serbia?,Belgrade
What is the capital of Croatia?,Zagreb
What is the capital of Bosnia and Herzegovina?,Sarajevo
What is the capital of Slovenia?,Ljubljana
What is the capital of Slovakia?,Bratislava
What is the capital of Czech Republic?,Prague
What is the capital of Hungary?,Budapest
What is the capital of Austria?,Vienna
What is the capital of Switzerland?,Bern
What is the capital of Belgium?,Brussels
What is the capital of Netherlands?,Amsterdam
What is the capital of Denmark?,Copenhagen
What is the capital of Sweden?,Stockholm
What is the capital of Norway?,Oslo
What is the capital of Finland?,Helsinki
What is the capital of Estonia?,Tallinn
What is the capital of Latvia?,Riga
What is the capital of Lithuania?,Vilnius
What is the capital of Belarus?,Minsk
What is the capital of Moldova?,Chisinau
What is the capital of Albania?,Tirana
What is the capital of North Macedonia?,Skopje
What is the capital of Montenegro?,Podgorica
What is the capital of Kosovo?,Pristina
What is the capital of Luxembourg?,Luxembourg City
What is the capital of Iceland?,Reykjavik
What is the capital of Ireland?,Dublin
What is the capital of Portugal?,Lisbon
What is the capital of Malta?,Valletta
What is the capital of Andorra?,Andorra la Vella
What is the capital of Monaco?,Monaco
What is the capital of Liechtenstein?,Vaduz
What is the capital of San Marino?,San Marino
What is the capital of Vatican City?,Vatican City
What is the longest river in South America?,Amazon
What is the longest river in Asia?,Yangtze
What is the longest river in Europe?,Volga
What is the longest river in North America?,Missouri
What is the longest river in Africa?,Nile
What is the longest river in Australia?,Murray
What is the highest mountain in the world?,Mount Everest
What is the highest mountain in Africa?,Mount Kilimanjaro
What is the highest mountain in the Americas?,Aconcagua
What is the highest mountain in Europe?,Mount Elbrus
What is the highest mountain in Australia?,Mount Kosciuszko
What is the highest mountain in Antarctica?,Vinson Massif
What is the largest ocean in the world?,Pacific Ocean
What is the smallest ocean in the world?,Arctic Ocean
What is the largest continent by area?,Asia
What is the smallest continent by area?,Australia
What is the largest country by area?,Russia
What is the smallest country by area?,Vatican City
What is the largest country by population?,India
What is the most populous city in the world?,Tokyo
What is the largest desert in the world?,Antarctic Desert
What is the largest hot desert in the world?,Sahara
What is the largest lake in the world by surface area?,Caspian Sea
What is the largest freshwater lake in the world?,Lake Superior
What is the deepest ocean trench in the world?,Mariana Trench
What is the longest mountain range in the world?,Andes
What is the largest island in the world?,Greenland
What is the smallest country in the world by population?,Vatican City
In what country is the Amazon rainforest mostly located?,Brazil
In what country is Mount Kilimanjaro located?,Tanzania
In what country is the Sahara desert mostly located?,Algeria
In what country is Lake Titicaca located?,Peru and Bolivia
What is the capital of Guatemala?,Guatemala City
What is the capital of Honduras?,Tegucigalpa
What is the capital of El Salvador?,San Salvador
What is the capital of Nicaragua?,Managua
What is the capital of Costa Rica?,San Jose
What is the capital of Panama?,Panama City
What is the capital of Cuba?,Havana
What is the capital of Jamaica?,Kingston
What is the capital of Haiti?,Port-au-Prince
What is the capital of Dominican Republic?,Santo Domingo
What is the capital of Trinidad and Tobago?,Port of Spain
What is the capital of Barbados?,Bridgetown
What is the capital of Guyana?,Georgetown
What is the capital of Suriname?,Paramaribo
What is the capital of Bolivia?,Sucre
What is the capital of Paraguay?,Asuncion
What is the capital of Uruguay?,Montevideo
What is the capital of Ecuador?,Quito
In what country is Patagonia located?,Argentina
What is the largest country in Africa by area?,Algeria
What is the most populous country in Africa?,Nigeria
What is the smallest country in Africa?,Seychelles
What is the longest river in the United States?,Missouri
What is the highest mountain in North America?,Denali
What is the largest lake in Africa?,Lake Victoria
What is the deepest lake in Africa?,Lake Tanganyika
In what country is the Gobi desert located?,Mongolia and China
In what country is Angkor Wat located?,Cambodia
In what country is Machu Picchu located?,Peru
In what country is the Dead Sea located?,Israel and Jordan
What is the largest archipelago in the world?,Malay Archipelago
Which river flows through Paris?,Seine
Which river flows through London?,Thames
Which river flows through Rome?,Tiber
Which river flows through Baghdad?,Tigris
Which river flows through Vienna?,Danube
Which river flows through Budapest?,Danube
Which river flows through Belgrade?,Danube
Which river flows through Moscow?,Moskva
Which river flows through Shanghai?,Huangpu
Which river flows through New York City?,Hudson
Which river flows through Washington DC?,Potomac
Which river flows through Berlin?,Spree
Which river flows through Lisbon?,Tagus
Which river flows through Warsaw?,Vistula
Which river flows through Prague?,Vltava
Which river flows through Bangkok?,Chao Phraya
Which river flows through Hanoi?,Red River
Which river flows through Delhi?,Yamuna
Which river flows through Kolkata?,Hooghly
Which river flows through Baghdad and Basra?,Tigris
Which river flows through Khartoum?,Nile
Which river flows through Kyiv?,Dnieper
Which river flows through Lyon?,Rhone
Which river flows through Florence?,Arno
Which river flows through Seville?,Guadalquivir
Which river flows through Basel and Cologne?,Rhine
Which river flows through Baghdad's twin city Basra and empties into the Persian Gulf?,Shatt al-Arab
Which river flows through Phnom Penh?,Mekong
Which river flows through Yangon?,Yangon River
Which river flows through Karachi?,Indus
Which river flows through Cologne?,Rhine
Which river flows through Melbourne?,Yarra
Which river flows through Dublin?,Liffey
Which river flows through Glasgow?,Clyde
Which river flows through Edinburgh's port area?,Forth
Which river flows through Buenos Aires?,Rio de la Plata
Which river flows through Montreal?,Saint Lawrence River
Which river flows through Sacramento?,Sacramento River
Which river flows through Beijing?,Yongding River
Which river flows through Guangzhou?,Pearl River
Which river flows through Lagos?,Ogun River
In which country is the Matterhorn located?,Switzerland and Italy
What is the highest mountain in the Alps?,Mont Blanc
In which two countries does Mont Blanc lie?,France and Italy
What is the second highest mountain in the world?,K2
In which country is K2 located?,Pakistan and China
In which country is Mount Fuji located?,Japan
What is the highest mountain in the United Kingdom?,Ben Nevis
In which country is Table Mountain located?,South Africa
In which country is Mount Ararat located?,Turkey
What is the highest peak in Mexico?,Pico de Orizaba
What is the highest mountain in New Zealand?,Mount Cook
"What is the highest mountain in South America outside the Andes' main peak, Aconcagua?",Ojos del Salado
What is the highest mountain entirely within Russia?,Mount Elbrus
In which mountain range is Mount Everest located?,Himalayas
In which mountain range is the Matterhorn located?,Alps
In which mountain range is Mount Kilimanjaro located?,Eastern Rift Mountains
What is the highest volcano in the world?,Ojos del Salado
What is the highest mountain in Spain?,Mount Teide
On which Spanish island is Mount Teide located?,Tenerife
In which country is most of the Kalahari Desert located?,Botswana
In which country is the Mojave Desert located?,United States
In which country is the Atacama Desert located?,Chile
What is the driest desert in the world?,Atacama Desert
In which countries is the Thar Desert located?,India and Pakistan
In which country is the Great Victoria Desert located?,Australia
In which country is the Namib Desert located?,Namibia
In which country is most of the Patagonian Desert located?,Argentina
In which country is the Arabian Desert mostly located?,Saudi Arabia
In which country is the Sonoran Desert mostly located?,Mexico and the United States
In which country is the Karakum Desert located?,Turkmenistan
In which country is the Taklamakan Desert located?,China
In which country is Lake Baikal located?,Russia
Which country borders Lake Malawi along with Malawi?,Mozambique and Tanzania
Which two countries border Lake Chad along with Chad?,Niger and Nigeria
Which country is Lake Volta located in?,Ghana
In which country is Lake Van located?,Turkey
Which US states border Lake Superior?,"Minnesota, Wisconsin, and Michigan"
Which two countries border the Caspian Sea's northern shore along with Kazakhstan?,Russia and Turkmenistan
Which lake is the largest lake located entirely within Europe?,Lake Ladoga
In which country is Lake Ladoga located?,Russia
What is the largest lake located entirely within the United States?,Lake Michigan
What is the largest lake in South America?,Lake Titicaca
What is the second deepest lake in the world?,Lake Tanganyika
Which three countries share the island of Borneo?,"Indonesia, Malaysia, and Brunei"
Which two countries share the island of New Guinea?,Indonesia and Papua New Guinea
What is the largest island nation located entirely off the coast of East Africa?,Madagascar
What is the largest island of Japan?,Honshu
In which country is the island of Sumatra located?,Indonesia
In which country is the island of Java located?,Indonesia
What is the largest island in the Mediterranean Sea?,Sicily
In which country is Sardinia located?,Italy
What is the largest island entirely within the Arctic Circle owned by Canada?,Ellesmere Island
What is the largest island in Canada's Arctic Archipelago?,Baffin Island
What is the largest of the British Isles?,Great Britain
What is the second largest island in the world?,New Guinea
What is the largest island in the Caribbean?,Cuba
What is the largest volcanic island in the world?,Iceland
What strait separates Spain and Morocco?,Strait of Gibraltar
What strait separates Russia and Alaska?,Bering Strait
What canal connects the Atlantic and Pacific Oceans through Central America?,Panama Canal
In which country is the Panama Canal located?,Panama
What canal connects the Mediterranean Sea and the Red Sea?,Suez Canal
In which country is the Suez Canal located?,Egypt
What body of water separates England and France?,English Channel
What strait separates the Arabian Peninsula from Iran?,Strait of Hormuz
What strait connects the Andaman Sea and the South China Sea?,Strait of Malacca
What strait separates the European and Asian sides of Istanbul?,Bosphorus
What passage separates South America from Antarctica?,Drake Passage
What strait separates Sicily from mainland Italy?,Strait of Messina
What strait separates Tasmania from mainland Australia?,Bass Strait
Which two countries make up most of the Iberian Peninsula?,Spain and Portugal
Which two countries make up the Scandinavian Peninsula?,Norway and Sweden
In which country is the Sinai Peninsula located?,Egypt
In which country is the Yucatan Peninsula located?,Mexico
In which country is the Kamchatka Peninsula located?,Russia
Which two countries occupy the Korean Peninsula?,North Korea and South Korea
Which countries make up the Balkan Peninsula?,"Greece, Albania, Bulgaria, and others"
Which country lies entirely on the Arabian Peninsula's largest share?,Saudi Arabia
In which country is Mount Vesuvius located?,Italy
Which Roman city did Mount Vesuvius destroy in 79 AD?,Pompeii
In which country is Krakatoa located?,Indonesia
In which US state is Mount St. Helens located?,Washington
In which US state is Mauna Loa located?,Hawaii
In which country is Mount Etna located?,Italy
On which Italian island is Mount Etna located?,Sicily
In which country is Mount Pinatubo located?,Philippines
In which country is Popocatepetl located?,Mexico
In which country is Cotopaxi located?,Ecuador
In which country is Eyjafjallajokull located?,Iceland
Which two countries does Niagara Falls border?,United States and Canada
Which two countries does Victoria Falls border?,Zambia and Zimbabwe
In which country is Angel Falls located?,Venezuela
What is the tallest waterfall in the world?,Angel Falls
Which two countries does Iguazu Falls border?,Argentina and Brazil
Which country is completely surrounded by Italy and is the world's smallest country?,Vatican City
Which country is completely surrounded by Italy and is one of the world's oldest republics?,San Marino
Which country is completely surrounded by South Africa?,Lesotho
Which country is named after the equator?,Ecuador
Which two countries does Andorra lie between?,France and Spain
Which country does Portugal border?,Spain
Which African country almost completely surrounds Gambia?,Senegal
Which country shares its only land border with Portugal?,Spain
Which South American country has coastlines on neither the Atlantic nor the Pacific?,Bolivia
Which two landlocked countries lie between France and Italy in the Alps?,Switzerland and Liechtenstein
Which country is both an island and a continent?,Australia
On which continent is Egypt located?,Africa
On which continent is Kazakhstan mostly located?,Asia
On which continent is Morocco located?,Africa
On which continent is Iceland located?,Europe
On which continent is Mexico located?,North America
On which continent is Chile located?,South America
What is the second longest river in the world?,Amazon
"What is the second highest mountain range in the world by average elevation, after the Himalayas?",Karakoram
What is the world's largest coral reef system?,Great Barrier Reef
In which country is the Great Barrier Reef located?,Australia
What is the lowest point on land on Earth's surface?,Dead Sea shore
What is the highest capital city in the world?,La Paz
In which country is La Paz located?,Bolivia
What is the largest gulf in the world?,Gulf of Mexico
What is the largest bay in the world?,Bay of Bengal
What is the largest rainforest in the world?,Amazon rainforest
What is the second largest rainforest in the world?,Congo rainforest
In which country is most of the Congo rainforest located?,Democratic Republic of the Congo
What is the world's largest salt flat?,Salar de Uyuni
In which country is Salar de Uyuni located?,Bolivia
What is the northernmost capital city in the world?,Reykjavik
What is the southernmost capital city in the world?,Wellington
What is the largest peninsula in the world?,Arabian Peninsula
What is the largest inland sea in the world?,Caspian Sea
What is the world's largest archipelago nation?,Indonesia
What is the longest mountain range located entirely on one continent?,Andes
What is the longest reef in the world?,Great Barrier Reef
What is the world's largest hot desert?,Sahara
What is the world's largest cold desert?,Antarctic Desert
Which country is known as the Land of the Rising Sun?,Japan
Which country is known as the Land of the Midnight Sun?,Norway
Which country is known as the Land of the Long White Cloud?,New Zealand
Which country is known as the Emerald Isle?,Ireland
"Which country is known as the Roof of the World, alongside Tibet?",Nepal
Which country has Naypyidaw as its capital?,Myanmar
Which country has Sri Jayawardenepura Kotte as its capital?,Sri Lanka
Which country has Ngerulmud as its capital?,Palau
Which country has Putrajaya as an administrative capital alongside Kuala Lumpur?,Malaysia
Which country has Pretoria as its administrative capital?,South Africa
Which country has Bloemfontein as its judicial capital?,South Africa
Which country has Cape Town as its legislative capital?,South Africa
Which country has Sucre as its constitutional capital?,Bolivia
Which country has La Paz as its administrative seat of government?,Bolivia
Which country has Amsterdam as its constitutional capital while the government sits in The Hague?,Netherlands
Which Dutch city is the seat of government even though Amsterdam is the official capital?,The Hague
In which country is the Great Wall located?,China
In which country is the Eiffel Tower located?,France
In which country is the Colosseum located?,Italy
In which country is the Taj Mahal located?,India
In which country is Stonehenge located?,United Kingdom
In which country is Christ the Redeemer statue located?,Brazil
In which country is Petra located?,Jordan
In which country is the Statue of Liberty located?,United States
In which country are the Pyramids of Giza located?,Egypt
In which country is Chichen Itza located?,Mexico
In which country is the Acropolis located?,Greece
In which country is Neuschwanstein Castle located?,Germany
In which country is the Sydney Opera House located?,Australia
In which country is Uluru located?,Australia
In which country is Table Mountain National Park located?,South Africa
