question,answer
Who was the last Mughal Emperor?,Bahadur Shah II
In what year was the Battle of Lepanto?,1571
Who was the first female Prime Minister of Pakistan?,Benazir Bhutto
In what year did the Scramble for Africa begin?,1881
Who commanded the Allied forces at the Battle of Waterloo?,Arthur Wellesley
In what year was the Congress of Vienna?,1815
Who was the first President of the Philippines?,Emilio Aguinaldo
In what year did the Spanish Armada sail against England?,1588
Who was the longest-serving British Prime Minister of the twentieth century?,Margaret Thatcher
In what year was the Battle of the Somme?,1916
Who was the first President of Nigeria?,Nnamdi Azikiwe
In what year did the First Opium War end?,1842
Who was the last King of France?,Louis Philippe
In what year was the Battle of Stalingrad?,1942
Who was the first Prime Minister of New Zealand?,Henry Sewell
In what year did Japan invade Manchuria?,1931
Who was the first President of Indonesia?,Sukarno
In what year did the Napoleonic Wars begin?,1803
Who was the first Caliph of Islam after Muhammad?,Abu Bakr
In what year did the Second Boer War end?,1902
Who was the first President of Kenya?,Jomo Kenyatta
In what year was the Battle of Culloden?,1746
Who was the first emperor of the Holy Roman Empire to be excommunicated?,Henry IV
In what year did the Taiping Rebellion end?,1864
Who was the first Prime Minister of Japan?,Ito Hirobumi
In what year was the assassination of Archduke Franz Ferdinand?,1914
Who was the first President of Argentina?,Bernardino Rivadavia
In what year did the Seven Years War end?,1763
Who was the last King of Egypt before the republic?,Farouk
In what year was the Battle of the Bulge?,1944
Who was the first President of Chile?,Bernardo O'Higgins
In what year did the Crimean War end?,1856
Who was the first female Prime Minister of Australia?,Julia Gillard
In what year was the Battle of Thermopylae?,480
Who was the first President of Vietnam?,Ho Chi Minh
In what year did the First Italian War of Independence occur?,1848
Who was the first female Pharaoh of Egypt?,Hatshepsut
In what year was the Peasants Revolt in England?,1381
Who was the first President of Cuba?,Tomas Estrada Palma
In what year did the Byzantine-Arab Wars begin?,634
Who was the last King of Poland?,Stanislaw August Poniatowski
In what year was the Battle of Borodino?,1812
Who was the first President of Liberia?,Joseph Jenkins Roberts
In what year did the War of the Roses begin?,1455
Who was the first female Head of Government in the world?,Sirimavo Bandaranaike
In what year was the Battle of Cannae?,216
Who was the first President of Pakistan?,Iskander Mirza
In what year did the Indian Mutiny begin?,1857
Who was the last King of Babylon?,Nabonidus
In what year was the Great Fire of London?,1666
Who was the first President of the Weimar Republic?,Friedrich Ebert
In what year did the Hundred Years War end?,1453
Who was the first Prime Minister of South Africa?,Louis Botha
In what year was the Battle of Tours?,732
Who was the first President of Peru?,Jose de la Riva Aguero
In what year did the Thirty Years War begin?,1618
Who was the last Aztec Emperor?,Cuauhtemoc
In what year was the Battle of Blenheim?,1704
In what year did the Polish-Soviet War end?,1921
Who was the first President of Colombia?,Simon Bolivar
In what year did the Sepoy Mutiny occur?,1857
Who was the last King of the Aztec Empire?,Cuauhtemoc
In what year was the Treaty of Westphalia signed?,1648
Who was the first President of Bolivia?,Antonio Jose de Sucre
In what year did the Siege of Leningrad begin?,1941
Who was the first female Prime Minister of Israel?,Golda Meir
In what year was the Glorious Revolution in England?,1688
Who was the first President of Venezuela?,Simon Bolivar
In what year did the First World War end?,1918
Who was the last Inca Emperor?,Atahualpa
In what year was the assassination of Martin Luther King Jr?,1968
Who was the first President of Ecuador?,Juan Jose Flores
In what year did the Mongols sack Baghdad?,1258
Who was the last King of Prussia?,Wilhelm II
In what year was the Paris Commune?,1871
Who was the first President of Panama?,Manuel Amador Guerrero
In what year did the Sino-Japanese War begin?,1894
Who was the last Emperor of Austria-Hungary?,Karl I
In what year was the Battle of Adwa?,1896
Who was the first President of Costa Rica?,Juan Mora Fernandez
Who was the 1st President of the United States?,George Washington
In what year did George Washington become President of the United States?,1789
Who was the 2nd President of the United States?,John Adams
In what year did John Adams become President of the United States?,1797
Who was the 3rd President of the United States?,Thomas Jefferson
In what year did Thomas Jefferson become President of the United States?,1801
Who was the 4th President of the United States?,James Madison
In what year did James Madison become President of the United States?,1809
Who was the 5th President of the United States?,James Monroe
In what year did James Monroe become President of the United States?,1817
Who was the 6th President of the United States?,John Quincy Adams
In what year did John Quincy Adams become President of the United States?,1825
Who was the 7th President of the United States?,Andrew Jackson
In what year did Andrew Jackson become President of the United States?,1829
Who was the 8th President of the United States?,Martin Van Buren
In what year did Martin Van Buren become President of the United States?,1837
Who was the 9th President of the United States?,William Henry Harrison
In what year did William Henry Harrison become President of the United States?,1841
Who was the 10th President of the United States?,John Tyler
In what year did John Tyler become President of the United States?,1841
Who was the 11th President of the United States?,James K Polk
In what year did James K Polk become President of the United States?,1845
Who was the 12th President of the United States?,Zachary Taylor
In what year did Zachary Taylor become President of the United States?,1849
Who was the 13th President of the United States?,Millard Fillmore
In what year did Millard Fillmore become President of the United States?,1850
Who was the 14th President of the United States?,Franklin Pierce
In what year did Franklin Pierce become President of the United States?,1853
Who was the 15th President of the United States?,James Buchanan
In what year did James Buchanan become President of the United States?,1857
Who was the 16th President of the United States?,Abraham Lincoln
In what year did Abraham Lincoln become President of the United States?,1861
Who was the 17th President of the United States?,Andrew Johnson
In what year did Andrew Johnson become President of the United States?,1865
Who was the 18th President of the United States?,Ulysses S Grant
In what year did Ulysses S Grant become President of the United States?,1869
Who was the 19th President of the United States?,Rutherford B Hayes
In what year did Rutherford B Hayes become President of the United States?,1877
Who was the 20th President of the United States?,James Garfield
In what year did James Garfield become President of the United States?,1881
Who was the 21st President of the United States?,Chester A Arthur
In what year did Chester A Arthur become President of the United States?,1881
Who was the 22nd President of the United States?,Grover Cleveland
In what year did Grover Cleveland become President of the United States?,1885
Who was the 23rd President of the United States?,Benjamin Harrison
In what year did Benjamin Harrison become President of the United States?,1889
Who was the 25th President of the United States?,William McKinley
In what year did William McKinley become President of the United States?,1897
Who was the 26th President of the United States?,Theodore Roosevelt
In what year did Theodore Roosevelt become President of the United States?,1901
Who was the 27th President of the United States?,William Howard Taft
In what year did William Howard Taft become President of the United States?,1909
Who was the 28th President of the United States?,Woodrow Wilson
In what year did Woodrow Wilson become President of the United States?,1913
Who was the 29th President of the United States?,Warren G Harding
In what year did Warren G Harding become President of the United States?,1921
Who was the 30th President of the United States?,Calvin Coolidge
In what year did Calvin Coolidge become President of the United States?,1923
Who was the 31st President of the United States?,Herbert Hoover
In what year did Herbert Hoover become President of the United States?,1929
Who was the 32nd President of the United States?,Franklin D Roosevelt
In what year did Franklin D Roosevelt become President of the United States?,1933
Who was the 33rd President of the United States?,Harry S Truman
In what year did Harry S Truman become President of the United States?,1945
Who was the 34th President of the United States?,Dwight D Eisenhower
In what year did Dwight D Eisenhower become President of the United States?,1953
Who was the 35th President of the United States?,John F Kennedy
In what year did John F Kennedy become President of the United States?,1961
Who was the 36th President of the United States?,Lyndon B Johnson
In what year did Lyndon B Johnson become President of the United States?,1963
Who was the 37th President of the United States?,Richard Nixon
In what year did Richard Nixon become President of the United States?,1969
Who was the 38th President of the United States?,Gerald Ford
In what year did Gerald Ford become President of the United States?,1974
Who was the 39th President of the United States?,Jimmy Carter
In what year did Jimmy Carter become President of the United States?,1977
Who was the 40th President of the United States?,Ronald Reagan
In what year did Ronald Reagan become President of the United States?,1981
Who was the 41st President of the United States?,George H W Bush
In what year did George H W Bush become President of the United States?,1989
Who was the 42nd President of the United States?,Bill Clinton
In what year did Bill Clinton become President of the United States?,1993
Who was the 43rd President of the United States?,George W Bush
In what year did George W Bush become President of the United States?,2001
Who was the 44th President of the United States?,Barack Obama
In what year did Barack Obama become President of the United States?,2009
Who was the 45th President of the United States?,Donald Trump
In what year did Donald Trump become President of the United States?,2017
Who was the 46th President of the United States?,Joe Biden
In what year did Joe Biden become President of the United States?,2021
In what year did William I become monarch of England or Britain?,1066
In what year did William II become monarch of England or Britain?,1087
In what year did Henry I become monarch of England or Britain?,1100
In what year did Stephen become monarch of England or Britain?,1135
In what year did Henry II become monarch of England or Britain?,1154
In what year did Richard I become monarch of England or Britain?,1189
In what year did John become monarch of England or Britain?,1199
In what year did Henry III become monarch of England or Britain?,1216
In what year did Edward I become monarch of England or Britain?,1272
In what year did Edward II become monarch of England or Britain?,1307
In what year did Edward III become monarch of England or Britain?,1327
In what year did Richard II become monarch of England or Britain?,1377
In what year did Henry IV become monarch of England or Britain?,1399
In what year did Henry V become monarch of England or Britain?,1413
In what year did Henry VI become monarch of England or Britain?,1422
In what year did Edward IV become monarch of England or Britain?,1461
In what year did Richard III become monarch of England or Britain?,1483
In what year did Henry VII become monarch of England or Britain?,1485
In what year did Henry VIII become monarch of England or Britain?,1509
In what year did Edward VI become monarch of England or Britain?,1547
In what year did Mary I become monarch of England or Britain?,1553
In what year did Elizabeth I become monarch of England or Britain?,1558
In what year did James I become monarch of England or Britain?,1603
In what year did Charles I become monarch of England or Britain?,1625
In what year did Charles II become monarch of England or Britain?,1660
In what year did James II become monarch of England or Britain?,1685
In what year did William III become monarch of England or Britain?,1689
In what year did Anne become monarch of England or Britain?,1702
In what year did George I become monarch of England or Britain?,1714
In what year did George II become monarch of England or Britain?,1727
In what year did George III become monarch of England or Britain?,1760
In what year did George IV become monarch of England or Britain?,1820
In what year did William IV become monarch of England or Britain?,1830
In what year did Victoria become monarch of England or Britain?,1837
In what year did Edward VII become monarch of England or Britain?,1901
In what year did George V become monarch of England or Britain?,1910
In what year did George VI become monarch of England or Britain?,1936
In what year did Elizabeth II become monarch of England or Britain?,1952
In what year did Charles III become monarch of England or Britain?,2022
In what year did Augustus become Roman Emperor?,27 BC
In what year did Tiberius become Roman Emperor?,14
In what year did Caligula become Roman Emperor?,37
In what year did Claudius become Roman Emperor?,41
In what year did Nero become Roman Emperor?,54
In what year did Vespasian become Roman Emperor?,69
In what year did Titus become Roman Emperor?,79
In what year did Domitian become Roman Emperor?,81
In what year did Nerva become Roman Emperor?,96
In what year did Trajan become Roman Emperor?,98
In what year did Hadrian become Roman Emperor?,117
In what year did Antoninus Pius become Roman Emperor?,138
In what year did Marcus Aurelius become Roman Emperor?,161
In what year did Commodus become Roman Emperor?,180
In what year did Septimius Severus become Roman Emperor?,193
In what year did Caracalla become Roman Emperor?,211
In what year did Diocletian become Roman Emperor?,284
In what year did Constantine I become Roman Emperor?,306
In what year did Theodosius I become Roman Emperor?,379
In what year did Robert Walpole become Prime Minister of the United Kingdom?,1721
In what year did William Pitt the Younger become Prime Minister of the United Kingdom?,1783
In what year did Robert Peel become Prime Minister of the United Kingdom?,1834
In what year did Lord John Russell become Prime Minister of the United Kingdom?,1846
In what year did Viscount Palmerston become Prime Minister of the United Kingdom?,1855
In what year did Benjamin Disraeli become Prime Minister of the United Kingdom?,1868
In what year did William Gladstone become Prime Minister of the United Kingdom?,1868
In what year did Marquess of Salisbury become Prime Minister of the United Kingdom?,1885
In what year did Arthur Balfour become Prime Minister of the United Kingdom?,1902
In what year did Henry Campbell-Bannerman become Prime Minister of the United Kingdom?,1905
In what year did H H Asquith become Prime Minister of the United Kingdom?,1908
In what year did David Lloyd George become Prime Minister of the United Kingdom?,1916
In what year did Bonar Law become Prime Minister of the United Kingdom?,1922
In what year did Stanley Baldwin become Prime Minister of the United Kingdom?,1923
In what year did Ramsay MacDonald become Prime Minister of the United Kingdom?,1924
In what year did Winston Churchill become Prime Minister of the United Kingdom?,1940
In what year did Clement Attlee become Prime Minister of the United Kingdom?,1945
In what year did Anthony Eden become Prime Minister of the United Kingdom?,1955
In what year did Harold Macmillan become Prime Minister of the United Kingdom?,1957
In what year did Alec Douglas-Home become Prime Minister of the United Kingdom?,1963
In what year did Harold Wilson become Prime Minister of the United Kingdom?,1964
In what year did Edward Heath become Prime Minister of the United Kingdom?,1970
In what year did James Callaghan become Prime Minister of the United Kingdom?,1976
In what year did Margaret Thatcher become Prime Minister of the United Kingdom?,1979
In what year did John Major become Prime Minister of the United Kingdom?,1990
In what year did Tony Blair become Prime Minister of the United Kingdom?,1997
In what year did Gordon Brown become Prime Minister of the United Kingdom?,2007
In what year did David Cameron become Prime Minister of the United Kingdom?,2010
In what year did Theresa May become Prime Minister of the United Kingdom?,2016
In what year did Boris Johnson become Prime Minister of the United Kingdom?,2019
In what year did Louis XIV become ruler of France?,1643
In what year did Louis XV become ruler of France?,1715
In what year did Louis XVI become ruler of France?,1774
In what year did Napoleon I become ruler of France?,1804
In what year did Louis XVIII become ruler of France?,1814
In what year did Charles X become ruler of France?,1824
In what year did Louis Philippe become ruler of France?,1830
In what year did Napoleon III become ruler of France?,1852
In what year did Gregory I become Pope?,590
In what year did Urban II become Pope?,1088
In what year did Leo X become Pope?,1513
In what year did John Paul II become Pope?,1978
"Who became King of Spain in 1556, ruling one of history's largest empires?",Philip II
"Who was the King of Prussia known as Frederick the Great, crowned in 1740?",Frederick II
Who became the first Emperor of a unified Germany in 1871?,Wilhelm I
"Who became Tsar of Russia in 1547, the first to hold that title?",Ivan IV
Who became Tsar of Russia in 1682 and modernised the country?,Peter the Great
Who became Empress of Russia in 1762?,Catherine the Great
In what year did Nicholas II become Tsar of Russia?,1894
In what year did Ghana gain independence?,1957
In what year did Nigeria gain independence?,1960
In what year did Kenya gain independence?,1963
In what year did Pakistan gain independence?,1947
In what year did Bangladesh gain independence?,1971
In what year did Indonesia gain independence?,1945
In what year did the Philippines gain independence?,1946
In what year did Algeria gain independence?,1962
In what year did Angola gain independence?,1975
In what year did Mozambique gain independence?,1975
In what year did Zimbabwe gain independence?,1980
In what year did Israel gain independence?,1948
In what year did Mexico gain independence?,1821
In what year did Brazil gain independence?,1822
In what year did Argentina gain independence?,1816
In what year did Chile gain independence?,1818
In what year did Cuba gain independence?,1902
In what year did Panama gain independence?,1903
In what year did Haiti gain independence?,1804
In what year did Canada gain independence?,1867
In what year did Australia gain independence?,1901
In what year did New Zealand gain independence?,1907
In what year did South Africa gain independence?,1910
In what year did Egypt gain independence?,1922
In what year did Iraq gain independence?,1932
In what year did Jordan gain independence?,1946
In what year did Lebanon gain independence?,1943
In what year did Syria gain independence?,1946
In what year did Libya gain independence?,1951
In what year did Sudan gain independence?,1956
In what year did Tunisia gain independence?,1956
In what year did Morocco gain independence?,1956
In what year did Cyprus gain independence?,1960
In what year did Malaysia gain independence?,1957
In what year did Singapore gain independence?,1965
In what year did Sri Lanka gain independence?,1948
In what year did Myanmar gain independence?,1948
In what year did Laos gain independence?,1953
In what year did Cambodia gain independence?,1953
In what year did Finland gain independence?,1917
In what year did Norway gain independence?,1905
In what year did Iceland gain independence?,1944
In what year did Ireland gain independence?,1922
In what year did Greece gain independence?,1830
In what year did Belgium gain independence?,1830
In what year did Bulgaria gain independence?,1878
In what year did Ukraine declare or gain independence?,1991
In what year did Belarus declare or gain independence?,1991
In what year did Kazakhstan declare or gain independence?,1991
In what year did Uzbekistan declare or gain independence?,1991
In what year did Armenia declare or gain independence?,1991
In what year did Georgia declare or gain independence?,1991
In what year did Azerbaijan declare or gain independence?,1991
In what year did Moldova declare or gain independence?,1991
In what year did Slovenia declare or gain independence?,1991
In what year did Croatia declare or gain independence?,1991
In what year did Bosnia and Herzegovina declare or gain independence?,1992
In what year did North Macedonia declare or gain independence?,1991
In what year did Eritrea declare or gain independence?,1993
In what year did Timor-Leste declare or gain independence?,2002
In what year did Montenegro declare or gain independence?,2006
In what year did Kosovo declare or gain independence?,2008
In what year did Czechoslovakia's split into two countries declare or gain independence?,1993
In what year was the Ottoman Empire founded?,1299
In what year was the Holy Roman Empire dissolved by Napoleon?,1806
In what year was the Mongol Empire founded by Genghis Khan?,1206
In what year was the Abbasid Caliphate founded?,750
In what year was the Umayyad Caliphate founded?,661
In what year was the Achaemenid Persian Empire founded by Cyrus the Great?,550 BC
In what year did the Qing dynasty begin?,1644
In what year did the Qing dynasty end?,1912
In what year did the Ming dynasty begin?,1368
In what year did the Ming dynasty end?,1644
In what year did the Tang dynasty begin?,618
In what year did the Han dynasty begin?,206 BC
In what year was the Maurya Empire founded in India?,322 BC
In what year was the Gupta Empire founded in India?,320
In what year did the Inca Empire fall to Spanish conquest?,1533
In what year did the Aztec Empire fall to Spanish conquest?,1521
In what year was the Safavid Empire founded in Persia?,1501
In what year was the Mughal Empire founded by Babur?,1526
In what year was the Songhai Empire at its height established?,1464
In what year was the Mali Empire founded?,1235
In what year was the Zulu Kingdom founded by Shaka?,1816
In what year did the War of 1812 begin?,1812
In what year did the War of 1812 end?,1815
In what year did the Mexican-American War begin?,1846
In what year did the Mexican-American War end?,1848
In what year did the Franco-Prussian War begin?,1870
In what year did the Franco-Prussian War end?,1871
In what year did the Crimean War begin?,1853
In what year did the Second Boer War begin?,1899
In what year did the First Balkan War begin?,1912
In what year did the Second Balkan War begin?,1913
In what year did the Russo-Japanese War begin?,1904
In what year did the Russo-Japanese War end?,1905
In what year did the Six-Day War take place?,1967
In what year did the Yom Kippur War take place?,1973
In what year did the Iran-Iraq War end?,1988
In what year did the Gulf War end?,1991
In what year did the Soviet-Afghan War begin?,1979
In what year did the Soviet-Afghan War end?,1989
In what year did the American Revolutionary War begin?,1775
In what year did the English Civil War begin?,1642
In what year did the English Civil War end?,1651
In what year did the War of the Spanish Succession begin?,1701
In what year did the War of the Austrian Succession begin?,1740
In what year did the Seven Years War begin?,1756
In what year did the Hundred Years War begin?,1337
In what year did the Wars of the Roses effectively end at Bosworth Field?,1485
In what year did the Peloponnesian War end?,404 BC
In what year did the First Punic War begin?,264 BC
In what year did the Second Punic War end?,201 BC
In what year did the Third Punic War begin?,149 BC
In what year did the Greco-Persian Wars begin?,499 BC
In what year did the Winter War between Finland and the Soviet Union begin?,1939
In what year did the War of the Triple Alliance in South America begin?,1864
In what year did the Mexican Revolution begin?,1910
In what year did the Russian Civil War begin?,1917
In what year did the Russian Civil War end?,1922
In what year did the Spanish-American War take place?,1898
In what year did the Boxer Rebellion begin?,1899
In what year did the First Anglo-Afghan War begin?,1839
In what year did the Second Anglo-Afghan War begin?,1878
In what year did the Third Anglo-Afghan War take place?,1919
In what year did the Second Sino-Japanese War begin?,1937
In what year did the Russo-Turkish War of 1877 begin?,1877
In what year was the Battle of Fallen Timbers?,1794
In what year was the Battle of New Orleans?,1815
In what year was the Battle of Little Bighorn?,1876
In what year was the Battle of Bull Run?,1861
In what year was the Battle of Shiloh?,1862
In what year was the Battle of Chancellorsville?,1863
In what year was the Battle of Cold Harbor?,1864
In what year was the Battle of Chickamauga?,1863
In what year was the Battle of Franklin during the American Civil War?,1864
In what year was the Siege of Vicksburg?,1863
In what year was the Battle of Fredericksburg?,1862
In what year was the Battle of Chattanooga?,1863
In what year was the Battle of the Wilderness?,1864
In what year was the Battle of Spotsylvania?,1864
In what year was the First Battle of Ypres?,1914
In what year was the Second Battle of Ypres?,1915
In what year was the Battle of Gallipoli?,1915
In what year was the Battle of Cambrai?,1917
In what year was the Battle of Amiens?,1918
In what year was the Battle of France?,1940
In what year did the Battle of the Atlantic begin?,1939
In what year was the Battle of Moscow?,1941
In what year was the Battle of Monte Cassino?,1944
In what year was the Battle of Arnhem?,1944
In what year was the Battle of Guadalcanal?,1942
In what year was the Battle of the Coral Sea?,1942
In what year was the Battle of Jena?,1806
In what year was the Battle of Wagram?,1809
In what year was the Battle of the Nile?,1798
In what year was the Battle of Crecy?,1346
In what year was the Battle of Poitiers during the Hundred Years War?,1356
In what year was the Siege of Orleans?,1429
In what year was the Battle of Castillon?,1453
In what year was the Battle of Manzikert?,1071
In what year was the Battle of Hattin?,1187
In what year was the Battle of Kadesh?,1274 BC
In what year was the Battle of Gaugamela?,331 BC
In what year was the Battle of Issus?,333 BC
In what year was the Battle of Chaeronea?,338 BC
In what year was the Battle of Adrianople?,378
In what year was the Battle of Chalons?,451
In what year did Constantinople fall to the Ottomans?,1453
In what year was the Battle of Salamis?,480 BC
In what year was the Battle of Plataea?,479 BC
In what year was the Battle of Actium?,31 BC
In what year was the Battle of Zama?,202 BC
In what year was the Battle of Yorktown?,1781
In what year was the Battle of Midway?,1942
In what year was the Battle of Britain?,1940
In what year was the Battle of Verdun?,1916
In what year was the attack on Pearl Harbor?,1941
In what year was the Battle of Iwo Jima?,1945
"In what year was D-Day, the Normandy landings?",1944
In what year was the Battle of Kursk?,1943
In what year was the Battle of Leyte Gulf?,1944
In what year was the Battle of Austerlitz?,1805
In what year was the Battle of Leipzig?,1813
In what year was the Battle of Bannockburn?,1314
In what year was the Battle of Bosworth Field?,1485
In what year was the Battle of Naseby?,1645
In what year was the Battle of the Boyne?,1690
In what year was the Battle of San Jacinto?,1836
In what year was the Battle of Antietam?,1862
In what year was the Battle of Gettysburg?,1863
In what year was the Battle of Sedan?,1870
In what year was the Battle of Mukden?,1905
In what year was the Battle of Tsushima?,1905
In what year was the Battle of Passchendaele?,1917
In what year was the First Battle of the Marne?,1914
In what year was the Battle of Jutland?,1916
In what year was the Battle of Okinawa?,1945
In what year was the Battle of Berlin?,1945
In what year was the Battle of Khe Sanh?,1968
In what year was the Battle of Dien Bien Phu?,1954
In what year did Vasco da Gama reach India by sea?,1498
In what year did Ferdinand Magellan's expedition depart to circumnavigate the globe?,1519
In what year did John Cabot reach North America?,1497
In what year did James Cook first reach Australia?,1770
"Who wrote The Prince, a treatise on political power?",Niccolo Machiavelli
Who wrote Das Kapital?,Karl Marx
Who painted the ceiling of the Sistine Chapel?,Michelangelo
Who painted the Mona Lisa?,Leonardo da Vinci
Who sculpted the statue of David?,Michelangelo
Who deciphered the hieroglyphs on the Rosetta Stone?,Jean-Francois Champollion
In what year was the Rosetta Stone discovered?,1799
Who led the Spanish conquest of the Aztec Empire?,Hernan Cortes
Who led the Spanish conquest of the Inca Empire?,Francisco Pizarro
Who was the first European credited with reaching the Americas via a Viking voyage?,Leif Erikson
Who was Queen of England during the defeat of the Spanish Armada?,Elizabeth I
Who was King of France during the French Revolution?,Louis XVI
Who was Tsar of Russia during Napoleon's 1812 invasion?,Alexander I
Who was Holy Roman Emperor during the early years of the Protestant Reformation?,Charles V
Who led the Norman conquest of England in 1066?,William the Conqueror
Who was Emperor of Japan at the end of World War Two?,Hirohito
Who was President of the United States at the start of the Great Depression?,Herbert Hoover
Who was President of the United States during the New Deal?,Franklin D Roosevelt
Who was President of the United States during the Louisiana Purchase?,Thomas Jefferson
Who was President of the United States during the Spanish-American War?,William McKinley
Who was President of the United States when the Berlin Wall fell?,George H W Bush
Who was the British Prime Minister during the Suez Crisis?,Anthony Eden
Who was the British Prime Minister on VE Day in 1945?,Winston Churchill
Who was the President of France during the outbreak of World War One?,Raymond Poincare
Who was the German Kaiser during World War One?,Wilhelm II
Who was the Austro-Hungarian Emperor at the outbreak of World War One?,Franz Joseph I
Who was Pharaoh during the construction of the Great Pyramid of Giza?,Khufu
Who was the Persian King who invaded Greece and fought at Marathon?,Darius I
Who was the Persian King who invaded Greece and fought at Thermopylae and Salamis?,Xerxes I
Who was King of Macedon and conquered the Persian Empire?,Alexander the Great
"Who was King of Macedon before Alexander the Great, his father?",Philip II
