question,answer
What is the term for the process by which organisms produce offspring?,Reproduction
What is the name of the scale used to measure earthquake magnitude?,Richter scale
What is the term for the outermost electron shell of an atom?,Valence shell
What is the chemical symbol for hydrogen?,H
What is the chemical symbol for helium?,He
What is the chemical symbol for lithium?,Li
What is the atomic number of lithium?,3
What is the chemical symbol for beryllium?,Be
What is the atomic number of beryllium?,4
What is the chemical symbol for boron?,B
What is the atomic number of boron?,5
What is the chemical symbol for carbon?,C
What is the chemical symbol for nitrogen?,N
What is the chemical symbol for oxygen?,O
What is the chemical symbol for fluorine?,F
What is the atomic number of fluorine?,9
What is the chemical symbol for neon?,Ne
What is the atomic number of neon?,10
What is the atomic number of sodium?,11
What is the chemical symbol for magnesium?,Mg
What is the atomic number of magnesium?,12
What is the chemical symbol for aluminium?,Al
What is the atomic number of aluminium?,13
What is the chemical symbol for silicon?,Si
What is the atomic number of silicon?,14
What is the chemical symbol for phosphorus?,P
What is the chemical symbol for sulfur?,S
What is the atomic number of sulfur?,16
What is the chemical symbol for chlorine?,Cl
What is the chemical symbol for argon?,Ar
What is the atomic number of argon?,18
What is the atomic number of potassium?,19
What is the chemical symbol for calcium?,Ca
What is the chemical symbol for scandium?,Sc
What is the atomic number of scandium?,21
What is the chemical symbol for titanium?,Ti
What is the atomic number of titanium?,22
What is the chemical symbol for vanadium?,V
What is the atomic number of vanadium?,23
What is the atomic number of chromium?,24
What is the atomic number of manganese?,25
What is the atomic number of cobalt?,27
What is the chemical symbol for nickel?,Ni
What is the atomic number of nickel?,28
What is the atomic number of copper?,29
What is the chemical symbol for zinc?,Zn
What is the chemical symbol for gallium?,Ga
What is the atomic number of gallium?,31
What is the chemical symbol for germanium?,Ge
What is the atomic number of germanium?,32
What is the chemical symbol for arsenic?,As
What is the atomic number of arsenic?,33
What is the chemical symbol for selenium?,Se
What is the atomic number of selenium?,34
What is the chemical symbol for bromine?,Br
What is the atomic number of bromine?,35
What is the chemical symbol for krypton?,Kr
What is the atomic number of krypton?,36
What is the chemical symbol for rubidium?,Rb
What is the atomic number of rubidium?,37
What is the chemical symbol for strontium?,Sr
What is the atomic number of strontium?,38
What is the chemical symbol for yttrium?,Y
What is the atomic number of yttrium?,39
What is the chemical symbol for zirconium?,Zr
What is the atomic number of zirconium?,40
What is the chemical symbol for niobium?,Nb
What is the atomic number of niobium?,41
What is the chemical symbol for molybdenum?,Mo
What is the atomic number of molybdenum?,42
What is the chemical symbol for technetium?,Tc
What is the atomic number of technetium?,43
What is the chemical symbol for ruthenium?,Ru
What is the atomic number of ruthenium?,44
What is the chemical symbol for rhodium?,Rh
What is the atomic number of rhodium?,45
What is the chemical symbol for palladium?,Pd
What is the atomic number of palladium?,46
What is the chemical symbol for cadmium?,Cd
What is the atomic number of cadmium?,48
What is the chemical symbol for indium?,In
What is the atomic number of indium?,49
What is the chemical symbol for antimony?,Sb
What is the atomic number of antimony?,51
What is the chemical symbol for tellurium?,Te
What is the atomic number of tellurium?,52
What is the chemical symbol for iodine?,I
What is the atomic number of iodine?,53
What is the chemical symbol for xenon?,Xe
What is the atomic number of xenon?,54
What is the chemical symbol for caesium?,Cs
What is the atomic number of caesium?,55
What is the chemical symbol for barium?,Ba
What is the atomic number of barium?,56
What is the chemical symbol for lanthanum?,La
What is the atomic number of lanthanum?,57
What is the chemical symbol for cerium?,Ce
What is the atomic number of cerium?,58
What is the chemical symbol for praseodymium?,Pr
What is the atomic number of praseodymium?,59
What is the chemical symbol for neodymium?,Nd
What is the atomic number of neodymium?,60
What is the chemical symbol for promethium?,Pm
What is the atomic number of promethium?,61
What is the chemical symbol for samarium?,Sm
What is the atomic number of samarium?,62
What is the chemical symbol for europium?,Eu
What is the atomic number of europium?,63
What is the chemical symbol for gadolinium?,Gd
What is the atomic number of gadolinium?,64
What is the chemical symbol for terbium?,Tb
What is the atomic number of terbium?,65
What is the chemical symbol for dysprosium?,Dy
What is the atomic number of dysprosium?,66
What is the chemical symbol for holmium?,Ho
What is the atomic number of holmium?,67
What is the chemical symbol for erbium?,Er
What is the atomic number of erbium?,68
What is the chemical symbol for thulium?,Tm
What is the atomic number of thulium?,69
What is the chemical symbol for ytterbium?,Yb
What is the atomic number of ytterbium?,70
What is the chemical symbol for lutetium?,Lu
What is the atomic number of lutetium?,71
What is the chemical symbol for hafnium?,Hf
What is the atomic number of hafnium?,72
What is the chemical symbol for tantalum?,Ta
What is the atomic number of tantalum?,73
What is the atomic number of tungsten?,74
What is the chemical symbol for rhenium?,Re
What is the atomic number of rhenium?,75
What is the chemical symbol for osmium?,Os
What is the atomic number of osmium?,76
What is the chemical symbol for iridium?,Ir
What is the atomic number of iridium?,77
What is the atomic number of platinum?,78
What is the atomic number of mercury?,80
What is the chemical symbol for thallium?,Tl
What is the atomic number of thallium?,81
What is the atomic number of lead?,82
What is the chemical symbol for bismuth?,Bi
What is the atomic number of bismuth?,83
What is the chemical symbol for polonium?,Po
What is the atomic number of polonium?,84
What is the chemical symbol for astatine?,At
What is the atomic number of astatine?,85
What is the chemical symbol for radon?,Rn
What is the atomic number of radon?,86
What is the chemical symbol for francium?,Fr
What is the atomic number of francium?,87
What is the chemical symbol for radium?,Ra
What is the atomic number of radium?,88
What is the chemical symbol for actinium?,Ac
What is the atomic number of actinium?,89
What is the chemical symbol for thorium?,Th
What is the atomic number of thorium?,90
What is the chemical symbol for protactinium?,Pa
What is the atomic number of protactinium?,91
What is the chemical symbol for uranium?,U
What is the chemical symbol for neptunium?,Np
What is the atomic number of neptunium?,93
What is the chemical symbol for plutonium?,Pu
What is the atomic number of plutonium?,94
What is the chemical symbol for americium?,Am
What is the atomic number of americium?,95
What is the chemical symbol for curium?,Cm
What is the atomic number of curium?,96
What is the chemical symbol for berkelium?,Bk
What is the atomic number of berkelium?,97
What is the chemical symbol for californium?,Cf
What is the atomic number of californium?,98
What is the chemical symbol for einsteinium?,Es
What is the atomic number of einsteinium?,99
What is the chemical symbol for fermium?,Fm
What is the atomic number of fermium?,100
What is the chemical symbol for mendelevium?,Md
What is the atomic number of mendelevium?,101
What is the chemical symbol for nobelium?,No
What is the atomic number of nobelium?,102
What is the chemical symbol for lawrencium?,Lr
What is the atomic number of lawrencium?,103
What is the chemical symbol for rutherfordium?,Rf
What is the atomic number of rutherfordium?,104
What is the chemical symbol for dubnium?,Db
What is the atomic number of dubnium?,105
What is the chemical symbol for seaborgium?,Sg
What is the atomic number of seaborgium?,106
What is the chemical symbol for bohrium?,Bh
What is the atomic number of bohrium?,107
What is the chemical symbol for hassium?,Hs
What is the atomic number of hassium?,108
What is the chemical symbol for meitnerium?,Mt
What is the atomic number of meitnerium?,109
What is the chemical symbol for darmstadtium?,Ds
What is the atomic number of darmstadtium?,110
What is the chemical symbol for roentgenium?,Rg
What is the atomic number of roentgenium?,111
What is the chemical symbol for copernicium?,Cn
What is the atomic number of copernicium?,112
What is the chemical symbol for nihonium?,Nh
What is the atomic number of nihonium?,113
What is the chemical symbol for flerovium?,Fl
What is the atomic number of flerovium?,114
What is the chemical symbol for moscovium?,Mc
What is the atomic number of moscovium?,115
What is the chemical symbol for livermorium?,Lv
What is the atomic number of livermorium?,116
What is the chemical symbol for tennessine?,Ts
What is the atomic number of tennessine?,117
What is the chemical symbol for oganesson?,Og
What is the atomic number of oganesson?,118
What is the state of matter of hydrogen at room temperature?,gas
What is the state of matter of helium at room temperature?,gas
What is the state of matter of lithium at room temperature?,solid
What is the state of matter of beryllium at room temperature?,solid
What is the state of matter of boron at room temperature?,solid
What is the state of matter of carbon at room temperature?,solid
What is the state of matter of nitrogen at room temperature?,gas
What is the state of matter of oxygen at room temperature?,gas
What is the state of matter of fluorine at room temperature?,gas
What is the state of matter of neon at room temperature?,gas
What is the state of matter of sodium at room temperature?,solid
What is the state of matter of magnesium at room temperature?,solid
What is the state of matter of aluminium at room temperature?,solid
What is the state of matter of silicon at room temperature?,solid
What is the state of matter of phosphorus at room temperature?,solid
What is the state of matter of sulfur at room temperature?,solid
What is the state of matter of chlorine at room temperature?,gas
What is the state of matter of argon at room temperature?,gas
What is the state of matter of potassium at room temperature?,solid
What is the state of matter of calcium at room temperature?,solid
What is the state of matter of scandium at room temperature?,solid
What is the state of matter of titanium at room temperature?,solid
What is the state of matter of vanadium at room temperature?,solid
What is the state of matter of chromium at room temperature?,solid
What is the state of matter of manganese at room temperature?,solid
What is the state of matter of iron at room temperature?,solid
What is the state of matter of cobalt at room temperature?,solid
What is the state of matter of nickel at room temperature?,solid
What is the state of matter of copper at room temperature?,solid
What is the state of matter of zinc at room temperature?,solid
What is the state of matter of gallium at room temperature?,solid
What is the state of matter of germanium at room temperature?,solid
What is the state of matter of arsenic at room temperature?,solid
What is the state of matter of selenium at room temperature?,solid
What is the state of matter of bromine at room temperature?,liquid
What is the state of matter of krypton at room temperature?,gas
What is the state of matter of rubidium at room temperature?,solid
What is the state of matter of strontium at room temperature?,solid
What is the state of matter of yttrium at room temperature?,solid
What is the state of matter of zirconium at room temperature?,solid
What is the state of matter of niobium at room temperature?,solid
What is the state of matter of molybdenum at room temperature?,solid
What is the state of matter of technetium at room temperature?,solid
What is the state of matter of ruthenium at room temperature?,solid
What is the state of matter of rhodium at room temperature?,solid
What is the state of matter of palladium at room temperature?,solid
What is the state of matter of silver at room temperature?,solid
What is the state of matter of cadmium at room temperature?,solid
What is the state of matter of indium at room temperature?,solid
What is the state of matter of tin at room temperature?,solid
What is the state of matter of antimony at room temperature?,solid
What is the state of matter of tellurium at room temperature?,solid
What is the state of matter of iodine at room temperature?,solid
What is the state of matter of xenon at room temperature?,gas
What is the state of matter of caesium at room temperature?,solid
What is the state of matter of barium at room temperature?,solid
What is the state of matter of lanthanum at room temperature?,solid
What is the state of matter of cerium at room temperature?,solid
What is the state of matter of praseodymium at room temperature?,solid
What is the state of matter of neodymium at room temperature?,solid
What is the state of matter of promethium at room temperature?,solid
What is the state of matter of samarium at room temperature?,solid
What is the state of matter of europium at room temperature?,solid
What is the state of matter of gadolinium at room temperature?,solid
What is the state of matter of terbium at room temperature?,solid
What is the state of matter of dysprosium at room temperature?,solid
What is the state of matter of holmium at room temperature?,solid
What is the state of matter of erbium at room temperature?,solid
What is the state of matter of thulium at room temperature?,solid
What is the state of matter of ytterbium at room temperature?,solid
What is the state of matter of lutetium at room temperature?,solid
What is the state of matter of hafnium at room temperature?,solid
What is the state of matter of tantalum at room temperature?,solid
What is the state of matter of tungsten at room temperature?,solid
What is the state of matter of rhenium at room temperature?,solid
What is the state of matter of osmium at room temperature?,solid
What is the state of matter of iridium at room temperature?,solid
What is the state of matter of platinum at room temperature?,solid
What is the state of matter of gold at room temperature?,solid
What is the state of matter of mercury at room temperature?,liquid
What is the state of matter of thallium at room temperature?,solid
What is the state of matter of lead at room temperature?,solid
What is the state of matter of bismuth at room temperature?,solid
What is the state of matter of polonium at room temperature?,solid
What is the state of matter of astatine at room temperature?,solid
What is the state of matter of radon at room temperature?,gas
"Is hydrogen classified as a metal, nonmetal, or metalloid?",nonmetal
"Is helium classified as a metal, nonmetal, or metalloid?",nonmetal
"Is lithium classified as a metal, nonmetal, or metalloid?",metal
"Is beryllium classified as a metal, nonmetal, or metalloid?",metal
"Is boron classified as a metal, nonmetal, or metalloid?",metalloid
"Is carbon classified as a metal, nonmetal, or metalloid?",nonmetal
"Is nitrogen classified as a metal, nonmetal, or metalloid?",nonmetal
"Is oxygen classified as a metal, nonmetal, or metalloid?",nonmetal
"Is fluorine classified as a metal, nonmetal, or metalloid?",nonmetal
"Is neon classified as a metal, nonmetal, or metalloid?",nonmetal
"Is sodium classified as a metal, nonmetal, or metalloid?",metal
"Is magnesium classified as a metal, nonmetal, or metalloid?",metal
"Is aluminium classified as a metal, nonmetal, or metalloid?",metal
"Is silicon classified as a metal, nonmetal, or metalloid?",metalloid
"Is phosphorus classified as a metal, nonmetal, or metalloid?",nonmetal
"Is sulfur classified as a metal, nonmetal, or metalloid?",nonmetal
"Is chlorine classified as a metal, nonmetal, or metalloid?",nonmetal
"Is argon classified as a metal, nonmetal, or metalloid?",nonmetal
"Is potassium classified as a metal, nonmetal, or metalloid?",metal
"Is calcium classified as a metal, nonmetal, or metalloid?",metal
"Is scandium classified as a metal, nonmetal, or metalloid?",metal
"Is titanium classified as a metal, nonmetal, or metalloid?",metal
"Is vanadium classified as a metal, nonmetal, or metalloid?",metal
"Is chromium classified as a metal, nonmetal, or metalloid?",metal
"Is manganese classified as a metal, nonmetal, or metalloid?",metal
"Is iron classified as a metal, nonmetal, or metalloid?",metal
"Is cobalt classified as a metal, nonmetal, or metalloid?",metal
"Is nickel classified as a metal, nonmetal, or metalloid?",metal
"Is copper classified as a metal, nonmetal, or metalloid?",metal
"Is zinc classified as a metal, nonmetal, or metalloid?",metal
"Is gallium classified as a metal, nonmetal, or metalloid?",metal
"Is germanium classified as a metal, nonmetal, or metalloid?",metalloid
"Is arsenic classified as a metal, nonmetal, or metalloid?",metalloid
"Is selenium classified as a metal, nonmetal, or metalloid?",nonmetal
"Is bromine classified as a metal, nonmetal, or metalloid?",nonmetal
"Is krypton classified as a metal, nonmetal, or metalloid?",nonmetal
"Is rubidium classified as a metal, nonmetal, or metalloid?",metal
"Is strontium classified as a metal, nonmetal, or metalloid?",metal
"Is yttrium classified as a metal, nonmetal, or metalloid?",metal
"Is zirconium classified as a metal, nonmetal, or metalloid?",metal
"Is niobium classified as a metal, nonmetal, or metalloid?",metal
"Is molybdenum classified as a metal, nonmetal, or metalloid?",metal
"Is technetium classified as a metal, nonmetal, or metalloid?",metal
"Is ruthenium classified as a metal, nonmetal, or metalloid?",metal
"Is rhodium classified as a metal, nonmetal, or metalloid?",metal
"Is palladium classified as a metal, nonmetal, or metalloid?",metal
"Is silver classified as a metal, nonmetal, or metalloid?",metal
"Is cadmium classified as a metal, nonmetal, or metalloid?",metal
"Is indium classified as a metal, nonmetal, or metalloid?",metal
"Is tin classified as a metal, nonmetal, or metalloid?",metal
"Is antimony classified as a metal, nonmetal, or metalloid?",metalloid
"Is tellurium classified as a metal, nonmetal, or metalloid?",metalloid
"Is iodine classified as a metal, nonmetal, or metalloid?",nonmetal
"Is xenon classified as a metal, nonmetal, or metalloid?",nonmetal
"Is caesium classified as a metal, nonmetal, or metalloid?",metal
"Is barium classified as a metal, nonmetal, or metalloid?",metal
"Is lanthanum classified as a metal, nonmetal, or metalloid?",metal
"Is cerium classified as a metal, nonmetal, or metalloid?",metal
"Is praseodymium classified as a metal, nonmetal, or metalloid?",metal
"Is neodymium classified as a metal, nonmetal, or metalloid?",metal
"Is promethium classified as a metal, nonmetal, or metalloid?",metal
"Is samarium classified as a metal, nonmetal, or metalloid?",metal
"Is europium classified as a metal, nonmetal, or metalloid?",metal
"Is gadolinium classified as a metal, nonmetal, or metalloid?",metal
"Is terbium classified as a metal, nonmetal, or metalloid?",metal
"Is dysprosium classified as a metal, nonmetal, or metalloid?",metal
"Is holmium classified as a metal, nonmetal, or metalloid?",metal
"Is erbium classified as a metal, nonmetal, or metalloid?",metal
"Is thulium classified as a metal, nonmetal, or metalloid?",metal
"Is ytterbium classified as a metal, nonmetal, or metalloid?",metal
"Is lutetium classified as a metal, nonmetal, or metalloid?",metal
"Is hafnium classified as a metal, nonmetal, or metalloid?",metal
"Is tantalum classified as a metal, nonmetal, or metalloid?",metal
"Is tungsten classified as a metal, nonmetal, or metalloid?",metal
"Is rhenium classified as a metal, nonmetal, or metalloid?",metal
"Is osmium classified as a metal, nonmetal, or metalloid?",metal
"Is iridium classified as a metal, nonmetal, or metalloid?",metal
"Is platinum classified as a metal, nonmetal, or metalloid?",metal
"Is gold classified as a metal, nonmetal, or metalloid?",metal
"Is mercury classified as a metal, nonmetal, or metalloid?",metal
"Is thallium classified as a metal, nonmetal, or metalloid?",metal
"Is lead classified as a metal, nonmetal, or metalloid?",metal
"Is bismuth classified as a metal, nonmetal, or metalloid?",metal
"Is polonium classified as a metal, nonmetal, or metalloid?",metalloid
"Is astatine classified as a metal, nonmetal, or metalloid?",metalloid
"Is radon classified as a metal, nonmetal, or metalloid?",nonmetal
"Is francium classified as a metal, nonmetal, or metalloid?",metal
"Is radium classified as a metal, nonmetal, or metalloid?",metal
"Is actinium classified as a metal, nonmetal, or metalloid?",metal
"Is thorium classified as a metal, nonmetal, or metalloid?",metal
"Is protactinium classified as a metal, nonmetal, or metalloid?",metal
"Is uranium classified as a metal, nonmetal, or metalloid?",metal
"Is neptunium classified as a metal, nonmetal, or metalloid?",metal
"Is plutonium classified as a metal, nonmetal, or metalloid?",metal
"Is americium classified as a metal, nonmetal, or metalloid?",metal
"Is curium classified as a metal, nonmetal, or metalloid?",metal
"Is berkelium classified as a metal, nonmetal, or metalloid?",metal
"Is californium classified as a metal, nonmetal, or metalloid?",metal
"Is einsteinium classified as a metal, nonmetal, or metalloid?",metal
"Is fermium classified as a metal, nonmetal, or metalloid?",metal
"Is mendelevium classified as a metal, nonmetal, or metalloid?",metal
"Is nobelium classified as a metal, nonmetal, or metalloid?",metal
"Is lawrencium classified as a metal, nonmetal, or metalloid?",metal
What is the approximate whole-number atomic mass of hydrogen?,1
What is the approximate whole-number atomic mass of helium?,4
What is the approximate whole-number atomic mass of lithium?,7
What is the approximate whole-number atomic mass of beryllium?,9
What is the approximate whole-number atomic mass of boron?,11
What is the approximate whole-number atomic mass of nitrogen?,14
What is the approximate whole-number atomic mass of oxygen?,16
What is the approximate whole-number atomic mass of fluorine?,19
What is the approximate whole-number atomic mass of neon?,20
What is the approximate whole-number atomic mass of sodium?,23
What is the approximate whole-number atomic mass of magnesium?,24
What is the approximate whole-number atomic mass of aluminium?,27
What is the approximate whole-number atomic mass of silicon?,28
What is the approximate whole-number atomic mass of phosphorus?,31
What is the approximate whole-number atomic mass of sulfur?,32
What is the approximate whole-number atomic mass of chlorine?,35
What is the approximate whole-number atomic mass of argon?,40
What is the approximate whole-number atomic mass of potassium?,39
What is the approximate whole-number atomic mass of calcium?,40
What is the approximate whole-number atomic mass of scandium?,45
What is the approximate whole-number atomic mass of titanium?,48
What is the approximate whole-number atomic mass of vanadium?,51
What is the approximate whole-number atomic mass of chromium?,52
What is the approximate whole-number atomic mass of manganese?,55
What is the approximate whole-number atomic mass of iron?,56
What is the approximate whole-number atomic mass of cobalt?,59
What is the approximate whole-number atomic mass of nickel?,59
What is the approximate whole-number atomic mass of copper?,64
What is the approximate whole-number atomic mass of zinc?,65
What is the approximate whole-number atomic mass of gallium?,70
What is the approximate whole-number atomic mass of germanium?,73
What is the approximate whole-number atomic mass of arsenic?,75
What is the approximate whole-number atomic mass of selenium?,79
What is the approximate whole-number atomic mass of bromine?,80
What is the approximate whole-number atomic mass of krypton?,84
What is the approximate whole-number atomic mass of rubidium?,85
What is the approximate whole-number atomic mass of strontium?,88
What is the approximate whole-number atomic mass of yttrium?,89
What is the approximate whole-number atomic mass of zirconium?,91
What is the chemical formula for sodium hydroxide?,NaOH
What is the chemical formula for potassium hydroxide?,KOH
What is the chemical formula for calcium carbonate?,CaCO3
What is the chemical formula for magnesium sulfate?,MgSO4
What is the chemical formula for sodium bicarbonate?,NaHCO3
What is the chemical formula for acetic acid?,CH3COOH
What is the chemical formula for benzene?,C6H6
What is the chemical formula for carbon tetrachloride?,CCl4
What is the chemical formula for sulfur dioxide?,SO2
What is the chemical formula for sulfur trioxide?,SO3
What is the chemical formula for nitrous oxide?,N2O
What is the chemical formula for nitrogen dioxide?,NO2
What is the chemical formula for phosphoric acid?,H3PO4
What is the chemical formula for washing soda (sodium carbonate)?,Na2CO3
What is the chemical formula for copper sulfate?,CuSO4
What is the chemical formula for iron sulfide?,FeS
What is the chemical formula for zinc oxide?,ZnO
What is the chemical formula for silver nitrate?,AgNO3
What is the chemical formula for potassium permanganate?,KMnO4
What is the chemical formula for potassium dichromate?,K2Cr2O7
What is the chemical formula for quicklime (calcium oxide)?,CaO
What is the chemical formula for slaked lime (calcium hydroxide)?,Ca(OH)2
What is the chemical formula for sodium hypochlorite (bleach)?,NaOCl
What is the chemical formula for hydrogen sulfide?,H2S
What is the chemical formula for hydrofluoric acid?,HF
What is the chemical formula for hydrobromic acid?,HBr
What is the chemical formula for hydroiodic acid?,HI
What is the chemical formula for acetylene?,C2H2
What is the chemical formula for ethylene?,C2H4
What is the chemical formula for propane?,C3H8
What is the chemical formula for butane?,C4H10
What is the chemical formula for methanol?,CH3OH
What is the chemical formula for phenol?,C6H5OH
What is the chemical formula for carbon monoxide?,CO
What is the chemical formula for nitric oxide?,NO
